ID,			y,	er
AA-3367.1,	591, 30
AA-3367.2,	690, 35
AA-3367.3,	606, 41
AA-3367.4,	701, 33
Ox-2575.1,	795, 65
Ox-2575.2,	730, 45
Ox-2575.3,	745, 55
ETH-3883.1,	733, 61
ETH-3883.2,	722, 56
ETH-3883.3,	635, 57
ETH-3883.4,	639, 45
ETH-3883.5,	679, 51
