TaxaNo,Genus,Species,Feeding,ClassNo
207,Lithothanium,Crassiusculum,unknown,2
208,Ruditapes,decussatus,unknown,15
209,Saxidomus,sp.,suspension,15
210,Saxidomus,giganteus,suspension,15
211,Saxidomus,nuttallii,suspension,15
212,Serripes,groenlandicus,suspension,15
213,Siliqua,patula,suspension,15
214,Solariella,obscura,unknown,18
215,Solemya,borealis Totten,commensalism,15
216,Spisula,sakhalinensis,suspension,15
453,Cerastoderma,sp.,suspension,18
218,Strombus,lentiginosus,unknown,18
219,Strombus,pacificus,unknown,18
220,Strombus,galeatus,unknown,18
221,Strombus,granulatus,Deposit,18
222,Strombus,peruvianus,Omnivore,18
223,Strombus,rninus,Deposit feeder o,18
224,Subninella,undulata,browser,18
225,Swiftopecten,swifti,suspension,15
226,Tapes,aureus,unknown,15
227,Tapes,decussatus,unknown,15
228,Tapes,deshayesi,unknown,15
229,Telescopium,telescopium,Deposit,18
230,Tellina,lineata,Deposit,15
231,Tellina,linguafelis,unknown,15
452,Didacna,crassa,suspension,18
233,Tellina,planata,unknown,15
234,Tellina,virgata,unknown,15
235,Tequla,aler,Herbivore,18
236,Thais,sp.,Carnivore,18
237,Thais,biserialis,unknown,18
238,Thais,clavigera,Carnivore,18
239,Thais,distinguenda,Carnivore,18
240,Thais,hippocastaneum,Carnivore,18
241,Thais,orbita,Carnivore,18
242,Thracia,meridionalis,unknown,15
243,Thyasira,flexuosa,Deposit or suspe,15
244,Timoclea,cochinensis,suspension,15
245,Tivela,mactroides,suspension,15
246,Trochus,intextus,browser,18
247,Turbo,laminiferus,unknown,18
248,Turbo,Petholatus,unknown,18
249,Turbo,rugosus,browser,18
250,Turbo,setosus,unknown,18
251,Turbo,brunneus,browser,18
252,Turritella,sp.,suspension,18
253,Turritella,leverostoma,suspension,18
254,Turritella,terebra,suspension,18
255,Urosalpinx,cinerea,Carnivore,18
256,Vasum,caestus,Carnivore,18
257,Venerupis,amygdala,suspension,15
258,Venerupis,corrugata,suspension,15
259,Ventricolaria,rigida,suspension,15
260,Venus,peupera,suspension,15
261,Venus,reticulata,suspension,15
262,Volachlamys,singaporina,suspension,15
263,Yoldia,hyperborea,Deposit,15
448,Melaraphe,neritoides,browser,18
265,Yoldia,limatula,Deposit,15
463,Venus,verrucosa,suspension,15
267,Chara,horrida,unknown,2
268,Cirriped,sp.,unknown,3
269,Acripora,sp.,suspension,4
270,Acropora,palmata,suspension,4
271,Acropora,scherzeriana,suspension,4
272,Diploastrea,heliopara,suspension,4
273,Diploria,strigosa,suspension,4
274,Favia,laxa,suspension,4
275,Favia,speciosa,suspension,4
276,Fungia,plana,suspension,4
277,Gardinesoseris,planulata,suspension,4
278,Montastrea,annularis,suspension,4
279,Montipora,foliosa,suspension,4
280,Montipora,lobulata,suspension,4
281,Montipora,ramosa,suspension,4
282,Pavona,clavus,suspension,4
283,Plategyra,lamellina,suspension,4
457,Tapes,rhomboides,suspension,15
285,Porites,arenaceae,suspension,4
286,Porites,australiensis,suspension,4
456,Lutraria,elliptica,suspension,15
288,Porites,lutea,suspension,4
289,Porites,nigrescens,suspension,4
290,Siderastrea,sidera,suspension,4
291,Melanogrammus,aeglefinus,unknown,6
292,Pagrus,auratus,unknown,6
293,Ulva,lactuca,unknown,5
294,Zostera,marina,unknown,5
295,Fucus,serratus,unknown,5
296,Fucus,vesiculosus,unknown,5
298,Globegerina,bulloides,suspension,7
299,Ursus,maritimus,unknown,8
300,Odobenus,rosmarus,migratory,9
301,Balaena,glacialis,migratory,10
302,Balaenoptera,physalus,migratory,10
303,Phoca,caspica,migratory,12
304,Phoca,foetida,migratory,12
305,Phoca,hispida,migratory,12
306,Pagophilus,groenlandicus,migratory,12
307,Leptonychotes,weddellii,migratory,12
308,Pygoscelis,adeliae,unknown,13
309,Aptenodytes,forsteri,unknown,13
310,Sibbaldus,muscul,migratory,10
311,Orcinus,orca,migratory,10
312,Homo,sapiens,unknown,11
313,Cirriped,Crustacea,unknown,3
314,Chara,aspera,unknown,5
315,,sp.,unknown,1
316,,sp.,unknown,18
317,,,suspension,4
318,,sp.,migratory,9
319,,sp.,unknown,13
320,,sp.,unknown,15
321,Strombus,gibberulus,unknown,18
322,Clausinella,Fasciata,suspension,15
323,Pseudocardium,sybillae,suspension,15
324,Tridonta,borealis,suspension,15
325,Glycymeris,yessoensis,suspension,15
326,Monodontga,neritoides,Herbivore,18
327,Malleus,malleus,suspension,15
328,Ostreidae,sp.,suspension,15
329,Haliotis,asinina,browser,18
330,Spondylus,sp.,suspension,15
331,Tridacna,crocea,unknown,15
332,Cellana,toreuma,browser,18
333,Monodonta,confusa,Herbivore,18
